year,month,day,time,region,ad,Total_Bytes
2018,4,17,9,fra,1,1500822219776
2018,4,17,10,fra,1,1501047684096
2018,4,17,11,fra,1,1501215477760
2018,4,17,12,fra,1,1501425335296
2018,4,17,13,fra,1,1501478921728
2018,4,17,14,fra,1,1501688202240
2018,4,17,15,fra,1,1500020413440
2018,4,17,16,fra,1,1500267240960
2018,4,17,17,fra,1,1480141771264
2018,4,17,18,fra,1,1503940352000
2018,4,17,19,fra,1,1504193734144
2018,4,17,20,fra,1,1504784825344
2018,4,17,21,fra,1,1505010177536
2018,4,17,22,fra,1,1501989681664
2018,4,17,23,fra,1,1502236677632
2018,4,18,0,fra,1,1499704983552
2018,4,18,1,fra,1,1499967599104
2018,4,18,2,fra,1,1500135693824
2018,4,18,3,fra,1,1500336975360
2018,4,18,4,fra,1,1503989892096
2018,4,18,5,fra,1,1504217310208
2018,4,18,6,fra,1,1504442121216
2018,4,18,7,fra,1,1504497839104
2018,4,18,8,fra,1,1504699967488
2018,4,18,9,fra,1,1507549925376
2018,4,18,10,fra,1,1507766406656
2018,4,18,11,fra,1,1509710055936
2018,4,18,12,fra,1,1509930151936
2018,4,18,13,fra,1,1502203498496
2018,4,18,14,fra,1,1502451595264
2018,4,18,15,fra,1,1501408481792
2018,4,18,16,fra,1,1501618876416
2018,4,18,17,fra,1,1505617095680
2018,4,18,18,fra,1,1505862345728
2018,4,18,19,fra,1,1487287406080
2018,4,18,20,fra,1,1508255956480
2018,4,18,21,fra,1,1508483998208
2018,4,18,22,fra,1,1505569501696
2018,4,18,23,fra,1,1505826721280
2018,4,19,0,fra,1,1504701719040
2018,4,19,1,fra,1,1504959207424
2018,4,19,2,fra,1,1508286459904
2018,4,19,3,fra,1,1508515705344
2018,4,19,4,fra,1,1511973099520
2018,4,19,5,fra,1,1512168811008
2018,4,19,6,fra,1,1514030016512
2018,4,19,7,fra,1,1514269307392
2018,4,19,8,fra,1,1502308869120
2018,4,19,9,fra,1,1513951049216
2018,4,19,10,fra,1,1514180580352
2018,4,19,11,fra,1,1519697090560
2018,4,19,12,fra,1,1519936311808
2018,4,19,13,fra,1,1516598354432
2018,4,19,14,fra,1,1516864778752
2018,4,19,15,fra,1,1512864843264
2018,4,19,16,fra,1,1513072666112
2018,4,19,17,fra,1,1512002656256
2018,4,19,18,fra,1,1512209188864
2018,4,19,19,fra,1,1514543429120
2018,4,19,20,fra,1,1514761889792
2018,4,19,21,fra,1,1500747180544
2018,4,19,22,fra,1,1508962233344
2018,4,19,23,fra,1,1509226025472
2018,4,20,0,fra,1,1508680880128
2018,4,20,1,fra,1,1508886516736
2018,4,20,2,fra,1,1515435944448
2018,4,20,3,fra,1,1515684637184
2018,4,20,4,fra,1,1511930013184
2018,4,20,5,fra,1,1512141161984
2018,4,20,6,fra,1,1515011881984
2018,4,20,7,fra,1,1515250315264
2018,4,20,8,fra,1,1515002522624
2018,4,20,9,fra,1,1515245791232
2018,4,20,10,fra,1,1510071495168
2018,4,20,11,fra,1,1514040751616
2018,4,20,12,fra,1,1514256846336
2018,4,20,13,fra,1,1521537721344
2018,4,20,14,fra,1,1521744162816
2018,4,20,15,fra,1,1520668601344
2018,4,20,16,fra,1,1520935905280
2018,4,20,17,fra,1,1519872615936
2018,4,20,18,fra,1,1520108127232
2018,4,20,19,fra,1,1523469415936
